MES,ANIO,VENTA,CUOTA,VENDEDOR,DISTRITO
ENERO,2018,3210,3400,Alvarez Juan,LOS OLIVOS
ENERO,2018,3500,3100,Rivera Luis,JESUS MARIA
ENERO,2018,3400,3350,Garcia José,BARRANCO
ENERO,2018,3300,3500,Pérez Francisco,MIRAFLORES
ENERO,2018,3100,3200,Rossi Gino,SANTA ANITA
FEBRERO,2018,3700,3500,Alvarez Juan,LOS OLIVOS
FEBRERO,2018,3600,3550,Rivera Luis,JESUS MARIA
FEBRERO,2018,3500,3450,Garcia José,BARRANCO
FEBRERO,2018,3450,3500,Pérez Francisco,MIRAFLORES
FEBRERO,2018,3650,3700,Rossi Gino,SANTA ANITA
MARZO,2018,4000,4800,Alvarez Juan,LOS OLIVOS
MARZO,2018,3900,3850,Rivera Luis,JESUS MARIA
MARZO,2018,3850,3900,Garcia José,BARRANCO
MARZO,2018,3600,3300,Pérez Francisco,MIRAFLORES
MARZO,2018,3500,3450,Rossi Gino,SANTA ANITA
ABRIL,2018,3450,3600,Alvarez Juan,LOS OLIVOS
ABRIL,2018,3500,3650,Rivera Luis,JESUS MARIA
ABRIL,2018,3600,3500,Garcia José,BARRANCO
ABRIL,2018,3700,3600,Pérez Francisco,MIRAFLORES
ABRIL,2018,3850,3900,Rossi Gino,SANTA ANITA
MAYO,2018,3400,3500,Alvarez Juan,LOS OLIVOS
MAYO,2018,3200,3400,Rivera Luis,JESUS MARIA
MAYO,2018,3300,3500,Garcia José,BARRANCO
MAYO,2018,3240,3500,Pérez Francisco,MIRAFLORES
MAYO,2018,3120,3200,Rossi Gino,SANTA ANITA
JUNIO,2018,3200,3000,Alvarez Juan,LOS OLIVOS
JUNIO,2018,3300,3250,Rivera Luis,JESUS MARIA
JUNIO,2018,3400,3500,Garcia José,BARRANCO
JUNIO,2018,3500,3700,Pérez Francisco,MIRAFLORES
JUNIO,2018,3600,3800,Rossi Gino,SANTA ANITA
ENERO,2019,3400,3200,Alvarez Juan,LOS OLIVOS
ENERO,2019,3600,3500,Rivera Luis,JESUS MARIA
ENERO,2019,3500,3600,Garcia José,BARRANCO
ENERO,2019,3600,3500,Pérez Francisco,MIRAFLORES
ENERO,2019,3400,3250,Rossi Gino,SANTA ANITA
FEBRERO,2019,3800,3450,Alvarez Juan,LOS OLIVOS
FEBRERO,2019,3700,3650,Rivera Luis,JESUS MARIA
FEBRERO,2019,3650,3500,Garcia José,BARRANCO
FEBRERO,2019,3550,3300,Pérez Francisco,MIRAFLORES
FEBRERO,2019,3750,3600,Rossi Gino,SANTA ANITA
MARZO,2019,3990,3600,Alvarez Juan,LOS OLIVOS
MARZO,2019,3850,3500,Rivera Luis,JESUS MARIA
MARZO,2019,4200,3800,Garcia José,BARRANCO
MARZO,2019,4000,3500,Pérez Francisco,MIRAFLORES
MARZO,2019,3800,3400,Rossi Gino,SANTA ANITA
ABRIL,2019,3550,3400,Alvarez Juan,LOS OLIVOS
ABRIL,2019,3600,3400,Rivera Luis,JESUS MARIA
ABRIL,2019,3700,3600,Garcia José,BARRANCO
ABRIL,2019,3800,3500,Pérez Francisco,MIRAFLORES
ABRIL,2019,3900,3500,Rossi Gino,SANTA ANITA
MAYO,2019,3850,3600,Alvarez Juan,LOS OLIVOS
MAYO,2019,3300,3200,Rivera Luis,JESUS MARIA
MAYO,2019,3450,3300,Garcia José,BARRANCO
MAYO,2019,3600,3400,Pérez Francisco,MIRAFLORES
MAYO,2019,3500,3400,Rossi Gino,SANTA ANITA
JUNIO,2019,3400,3250,Alvarez Juan,LOS OLIVOS
JUNIO,2019,3450,3400,Rivera Luis,JESUS MARIA
JUNIO,2019,3500,3450,Garcia José,BARRANCO
JUNIO,2019,3650,3600,Pérez Francisco,MIRAFLORES
JUNIO,2019,3700,3500,Rossi Gino,SANTA ANITA
